心拍数,左目のx座標,左目のy座標,右目のx座標,右目のy座標,nitizi
80.86,None,None,None,None,2025-07-06 13:25:00.812872
80.86,4,1,14,0,2025-07-06 13:25:02.550563
80.86,0,2,-2,1,2025-07-06 13:25:04.294177
80.86,0,-1,0,-2,2025-07-06 13:25:06.035157
80.86,0,0,0,-1,2025-07-06 13:25:07.775903
80.86,1,0,0,0,2025-07-06 13:25:09.511654
80.86,4,2,-5,-2,2025-07-06 13:25:11.253640
80.86,7,2,15,1,2025-07-06 13:25:12.989987
80.86,2,2,16,0,2025-07-06 13:25:14.728942
80.86,2,2,16,0,2025-07-06 13:25:16.773058
80.86,2,2,16,0,2025-07-06 13:25:18.821185
80.86,2,2,16,0,2025-07-06 13:25:20.588107
80.86,2,0,0,1,2025-07-06 13:25:22.325028
80.86,2,0,0,1,2025-07-06 13:25:24.060965
80.86,2,0,0,1,2025-07-06 13:25:25.797730
80.86,2,0,0,1,2025-07-06 13:25:27.535635
80.86,2,0,0,1,2025-07-06 13:25:29.570565
80.86,2,0,0,1,2025-07-06 13:25:31.306683
80.86,7,0,-3,1,2025-07-06 13:25:33.042409
80.86,None,None,None,None,2025-07-06 13:25:34.777801
80.86,-1,2,11,-2,2025-07-06 13:25:36.820705
80.86,-1,2,11,-2,2025-07-06 13:25:38.555929
80.86,-1,2,11,-2,2025-07-06 13:25:40.298318
80.86,-1,2,11,-2,2025-07-06 13:25:42.034056
80.86,-1,2,11,-2,2025-07-06 13:25:43.773718
